ID,Transaction,,,,,,,Item_1,Item_2,Item_3,Item_4,Item_5,Item_6,Item_7
1,"corned_b, peppers, bourbon, cracker, chicken, apples, coke",,,,,,,corned_b,peppers,bourbon,cracker,chicken,apples,coke
2,"olives, bourbon, coke, turkey, ice_crea, ham, baguette",,,,,,,olives,bourbon,coke,turkey,ice_crea,ham,baguette
3,"hering, corned_b, olives, ham, turkey, bourbon, peppers",,,,,,,hering,corned_b,olives,ham,turkey,bourbon,peppers
4,"baguette, sardines, apples, peppers, avocado, ice_crea, bourbon",,,,,,,baguette,sardines,apples,peppers,avocado,ice_crea,bourbon
5,"baguette, soda, hering, cracker, heineken, peppers, apples",,,,,,,baguette,soda,hering,cracker,heineken,peppers,apples
6,"baguette, soda, hering, cracker, heineken, corned_b, ham",,,,,,,baguette,soda,hering,cracker,heineken,corned_b,ham
7,"avocado, cracker, artichok, heineken, ham, ice_crea, olives",,,,,,,avocado,cracker,artichok,heineken,ham,ice_crea,olives
8,"hering, corned_b, apples, olives, steak, cracker, chicken",,,,,,,hering,corned_b,apples,olives,steak,cracker,chicken
9,"corned_b, peppers, bourbon, cracker, chicken, avocado, soda",,,,,,,corned_b,peppers,bourbon,cracker,chicken,avocado,soda
10,"baguette, sardines, apples, peppers, avocado, ice_crea, ice_crea",,,,,,,baguette,sardines,apples,peppers,avocado,ice_crea,ice_crea
11,"soda, olives, bourbon, cracker, heineken, steak, corned_b",,,,,,,soda,olives,bourbon,cracker,heineken,steak,corned_b
12,"soda, olives, bourbon, cracker, heineken, steak, steak",,,,,,,soda,olives,bourbon,cracker,heineken,steak,steak
13,"soda, olives, bourbon, cracker, heineken, ham, hering",,,,,,,soda,olives,bourbon,cracker,heineken,ham,hering
14,"corned_b, peppers, bourbon, cracker, chicken, sardines, olives",,,,,,,corned_b,peppers,bourbon,cracker,chicken,sardines,olives
15,"sardines, heineken, chicken, coke, ice_crea, hering, cracker",,,,,,,sardines,heineken,chicken,coke,ice_crea,hering,cracker
16,"sardines, heineken, chicken, coke, ice_crea, artichok, steak",,,,,,,sardines,heineken,chicken,coke,ice_crea,artichok,steak
17,"olives, bourbon, coke, turkey, ice_crea, heineken, apples",,,,,,,olives,bourbon,coke,turkey,ice_crea,heineken,apples
18,"sardines, heineken, chicken, coke, ice_crea, soda, ham",,,,,,,sardines,heineken,chicken,coke,ice_crea,soda,ham
19,"hering, corned_b, olives, ham, turkey, cracker, avocado",,,,,,,hering,corned_b,olives,ham,turkey,cracker,avocado
